suburb,top_make,ratio,vehicles
AINSLIE,PEUGEOT,2.3380643251446775,49
AMAROO,JEEP,1.3507618786580864,36
ARANDA,VOLVO,1.9536392825492865,23
BANKS,JEEP,1.5355029036164476,39
BARTON,BMW,2.296709686581341,59
BELCONNEN,ISUZU,1.6336886254409995,21
BONNER,NISSAN,1.2821955285196311,214
BONYTHON,SUZUKI,1.7101766967634948,68
BRADDON,RENAULT,1.722787969674726,21
BRUCE,LEXUS,1.7124802480367747,45
CALWELL,MITSUBISHI,1.2883445251858898,256
CAMPBELL,LAND ROVER,1.9808941073125668,32
CASEY,JEEP,1.5183254086748639,41
CHAPMAN,VOLVO,2.135957181530279,33
CHARNWOOD,FORD,1.6281351509120363,266
CHIFLEY,HONDA,1.2841613036670874,90
CHISHOLM,ISUZU,1.778435634601974,20
CONDER,SUZUKI,1.7629705302288625,95
COOK,SKODA,2.466069437864872,32
COOMBS,VOLVO,1.347816845642552,21
CRACE,AUDI,1.7696116898931133,72
CURTIN,VOLVO,1.8956995053818302,50
DEAKIN,PORSCHE,5.455881007322472,31
DICKSON,ISUZU,6.2964597837357426,39
DOWNER,SKODA,1.6380974401957669,26
DUFFY,SKODA,2.5125610403822822,39
DUNLOP,NISSAN,1.3416243925313327,275
EVATT,MAZDA,1.2339893903681396,364
FADDEN,LAND ROVER,1.5510943711279566,20
FARRER,LEXUS,1.823122655576277,30
FISHER,NISSAN,1.2546659594072374,112
FLOREY,HONDA,1.4668289947567101,194
FLYNN,FORD,1.3476309555520585,269
FORDE,LAND ROVER,2.1891316366903366,31
FORREST,PORSCHE,10.083344994687605,34
FRANKLIN,AUDI,1.4549664271822333,89
FRASER,KIA,1.3848884413757832,53
GARRAN,VOLVO,2.22392272717935,35
GILMORE,HOLDEN,1.5753424723826905,256
GIRALANG,MITSUBISHI,1.1648980592119984,131
GORDON,SUZUKI,1.4183609173765075,116
GOWRIE,FORD,1.2344850220528105,215
GREENWAY,ISUZU,5.623104797482577,34
GRIFFITH,PORSCHE,3.937170328725195,31
GUNGAHLIN,JEEP,1.5317511482701776,48
HACKETT,SKODA,1.8918193356588682,25
HARRISON,MINI,1.7725375399794006,22
HAWKER,MERCEDES,1.2944850939888162,52
HIGGINS,FORD,1.350433784292132,232
HOLDER,SUBARU,1.2603289685386594,107
HOLT,HYUNDAI,1.3068309580379867,231
HUGHES,VOLVO,2.6056623890618913,35
ISAACS,LEXUS,2.858943045329055,35
ISABELLA PLAINS,SUZUKI,1.6610139809892768,76
KALEEN,FORD,1.1566142700692246,481
KAMBAH,ISUZU,1.2254991237662196,39
KINGSTON,PORSCHE,3.6341010454460716,31
LATHAM,HOLDEN,1.358532853052934,300
LAWSON,AUDI,2.514626291756789,48
LYNEHAM,PEUGEOT,1.6355408649919967,35
LYONS,PEUGEOT,2.162040860389172,28
MACARTHUR,NISSAN,1.2350972543441499,55
MACGREGOR,KIA,1.4061797767363298,166
MACQUARIE,SKODA,1.6430389106035974,20
MAWSON,PEUGEOT,1.8507161668899874,28
MCKELLAR,LEXUS,1.9750671786991751,27
MELBA,JEEP,1.3045604462412987,21
MONASH,SUZUKI,1.246934511277598,72
MONCRIEFF,KIA,1.4147760110024261,84
NARRABUNDAH,ALFA ROMEO,2.676165354809442,20
NGUNNAWAL,NISSAN,1.2264218947018064,374
NICHOLLS,PORSCHE,2.099929355853831,26
O'CONNOR,VOLVO,1.941382307315274,47
O'MALLEY,MERCEDES,7.05707601717601,152
OXLEY,MITSUBISHI,1.380021964292437,82
PAGE,NISSAN,1.1866947943766089,90
PALMERSTON,JEEP,1.5818344468102616,43
PEARCE,MERCEDES,1.5055857400854538,56
PHILLIP,LAND ROVER,2.0432186781037864,44
RED HILL,PORSCHE,7.362388423560882,38
REID,MERCEDES,1.9363488940552926,32
RICHARDSON,HOLDEN,1.535666983902028,284
RIVETT,SUBARU,1.225819676466103,120
SCULLIN,SUZUKI,1.29040490410166,36
SPENCE,HOLDEN,1.4095815926432123,207
STIRLING,MAZDA,1.2469144442683315,137
THEODORE,SUZUKI,1.4894903371739696,61
TORRENS,VOLVO,2.0011441891158346,23
TURNER,PEUGEOT,2.7186053827781915,37
WANNIASSA,MITSUBISHI,1.261879787212365,329
WARAMANGA,MITSUBISHI,1.2294911131738175,105
WATSON,SUBARU,1.5100769034220654,247
WEETANGERA,VOLVO,1.6474856133102525,22
WESTON,LAND ROVER,1.6419747695505418,23
WRIGHT,AUDI,1.5834731118888816,44
YARRALUMLA,PORSCHE,6.743789088280588,45
