suburb,top_make,ratio
AINSLIE,PEUGEOT,2.3380643251446775
AMAROO,ALFA ROMEO,1.4009803177463465
ARANDA,CITROEN,3.077886451450958
BANKS,JEEP,1.5355029036164476
BARTON,ALFA ROMEO,3.3634356459286203
BELCONNEN,ISUZU,1.6336886254409995
BONNER,NISSAN,1.2821955285196311
BONYTHON,SUZUKI,1.7101766967634948
BRADDON,MINI,1.8039214973033797
BRUCE,LEXUS,1.7124802480367747
CALWELL,MITSUBISHI,1.2883445251858898
CAMPBELL,LAND ROVER,1.9808941073125668
CASEY,JEEP,1.5183254086748639
CHAPMAN,VOLVO,2.135957181530279
CHARNWOOD,FORD,1.6281351509120363
CHIFLEY,ALFA ROMEO,2.7121193768892917
CHISHOLM,ISUZU,1.778435634601974
CONDER,SUZUKI,1.7629705302288625
COOK,SKODA,2.466069437864872
COOMBS,CITROEN,1.3566394131115116
CRACE,MINI,2.0261566352942846
CURTIN,VOLVO,1.8956995053818302
DEAKIN,PORSCHE,5.455881007322472
DICKSON,ISUZU,6.2964597837357426
DOWNER,SKODA,1.6380974401957669
DUFFY,SKODA,2.5125610403822822
DUNLOP,NISSAN,1.3416243925313327
EVATT,ISUZU,1.6166884797719803
FADDEN,ALFA ROMEO,2.6999657912637964
FARRER,LEXUS,1.823122655576277
FISHER,ISUZU,1.6737917468024894
FLOREY,HONDA,1.4668289947567101
FLYNN,ISUZU,1.381869773900444
FORDE,PORSCHE,2.54680697772103
FORREST,PORSCHE,10.083344994687605
FRANKLIN,MINI,1.7070759408902887
FRASER,ISUZU,2.0760844150608726
GARRAN,VOLVO,2.22392272717935
GILMORE,HOLDEN,1.5753424723826905
GIRALANG,CITROEN,1.56290467223351
GORDON,SUZUKI,1.4183609173765075
GOWRIE,ALFA ROMEO,1.418178663852304
GREENWAY,ISUZU,5.623104797482577
GRIFFITH,PORSCHE,3.937170328725195
GUNGAHLIN,JEEP,1.5317511482701776
HACKETT,CITROEN,2.081572815851842
HARRISON,MINI,1.7725375399794006
HAWKER,RENAULT,1.5930705197806176
HIGGINS,ISUZU,1.605586576503269
HOLDER,FIAT,1.38318084579219
HOLT,HYUNDAI,1.3068309580379867
HUGHES,VOLVO,2.6056623890618913
ISAACS,LEXUS,2.858943045329055
ISABELLA PLAINS,ISUZU,1.6750738546131385
KALEEN,FORD,1.1566142700692246
KAMBAH,ISUZU,1.2254991237662196
KINGSTON,PORSCHE,3.6341010454460716
LATHAM,ISUZU,1.4479998849764921
LAWSON,AUDI,2.514626291756789
LYNEHAM,CITROEN,1.688482412197176
LYONS,PEUGEOT,2.162040860389172
MACARTHUR,PORSCHE,2.3343288351608753
MACGREGOR,KIA,1.4061797767363298
MACQUARIE,CITROEN,1.8078391880417826
MAWSON,CITROEN,2.0208510583649844
MCKELLAR,FIAT,2.32684253135732
MELBA,JEEP,1.3045604462412987
MONASH,SUZUKI,1.246934511277598
MONCRIEFF,KIA,1.4147760110024261
NARRABUNDAH,ALFA ROMEO,2.676165354809442
NGUNNAWAL,NISSAN,1.2264218947018064
NICHOLLS,PORSCHE,2.099929355853831
O'CONNOR,FIAT,2.235194299684746
O'MALLEY,MERCEDES,7.05707601717601
OXLEY,RENAULT,1.4174087514397888
PAGE,ISUZU,1.5760784988810468
PALMERSTON,ALFA ROMEO,1.7856307850366788
PEARCE,ISUZU,2.512026653601176
PHILLIP,LAND ROVER,2.0432186781037864
RED HILL,PORSCHE,7.362388423560882
REID,PORSCHE,3.7461343633514326
RICHARDSON,ISUZU,2.8292945559427953
RIVETT,LAND ROVER,1.316430724634764
SCULLIN,SUZUKI,1.29040490410166
SPENCE,HOLDEN,1.4095815926432123
STIRLING,PEUGEOT,1.9606849158608086
THEODORE,ISUZU,2.245760120356819
TORRENS,VOLVO,2.0011441891158346
TURNER,PEUGEOT,2.7186053827781915
WANNIASSA,MITSUBISHI,1.261879787212365
WARAMANGA,CITROEN,1.6006909477453284
WATSON,SUBARU,1.5100769034220654
WEETANGERA,CITROEN,2.4874046382229564
WESTON,LAND ROVER,1.6419747695505418
WRIGHT,RENAULT,1.8709084146984414
YARRALUMLA,PORSCHE,6.743789088280588
